review_id,item_id,product_name,rating,review
REV00001,IKEA01170,ALEX,5,Good quality and durable.
REV00002,IKEA00643,MICKE,5,Beautiful Scandinavian design.
REV00003,IKEA00058,POANG,2,Some parts were difficult to assemble.
REV00004,IKEA00789,HEMNES,4,Beautiful Scandinavian design.
REV00005,IKEA00108,HEMNES,5,Good quality and durable.
REV00006,IKEA00889,PAX,5,Beautiful Scandinavian design.
REV00007,IKEA00366,MICKE,5,Good quality and durable.
REV00008,IKEA00092,TROFAST,5,Very good quality and easy to assemble.
REV00009,IKEA00937,KALLAX,5,Excellent product for the price.
REV00010,IKEA00656,PAX,3,Decent quality for the price.
REV00011,IKEA01015,PAX,4,Good quality and durable.
REV00012,IKEA00032,MALM,2,Not completely satisfied.
REV00013,IKEA00422,KALLAX,5,Very good quality and easy to assemble.
REV00014,IKEA00595,HEMNES,1,Quality was average.
REV00015,IKEA00678,LACK,5,Very useful and practical furniture.
REV00016,IKEA00468,TROFAST,4,Perfect for a small apartment.
REV00017,IKEA00824,IVAR,2,Quality was average.
REV00018,IKEA00505,BILLY,5,Looks great in my room.
REV00019,IKEA00866,BRIMNES,5,Good quality and durable.
REV00020,IKEA00635,HEMNES,4,Good quality and durable.
REV00021,IKEA00559,BILLY,4,Very good quality and easy to assemble.
REV00022,IKEA00852,PAX,5,Very useful and practical furniture.
REV00023,IKEA00570,MALM,5,Excellent product for the price.
REV00024,IKEA01000,MICKE,4,Very good quality and easy to assemble.
REV00025,IKEA00810,IVAR,2,Not completely satisfied.
REV00026,IKEA00264,PAX,5,Excellent product for the price.
REV00027,IKEA00145,BRIMNES,5,Very good quality and easy to assemble.
REV00028,IKEA00326,BILLY,5,Very useful and practical furniture.
REV00029,IKEA00137,HEMNES,4,Looks great in my room.
REV00030,IKEA00343,TROFAST,5,Looks great in my room.
REV00031,IKEA00816,BILLY,4,Looks great in my room.
REV00032,IKEA00584,BESTA,5,Looks great in my room.
REV00033,IKEA00223,TROFAST,5,Very useful and practical furniture.
REV00034,IKEA00414,BILLY,5,Beautiful Scandinavian design.
