item_id,name,category,price,short_description,designer,depth,height,width,other_colors,sellable_online,rating,reviews_count,content
IKEA00001,ALEX,Chair,2138,Space-saving furniture with easy assembly.,Henrik Preutz,51,87,65,"Black, Beige, Blue",True,4.2,21,Product Name: ALEX. Category: Chair. Price: 2138. Description: Space-saving furniture with easy assembly.. Designer: Henrik Preutz. Dimensions: 65cm width x 51cm depth x 87cm height.
IKEA00002,KALLAX,Chair,14827,Compact furniture suitable for small apartments.,Ola Wihlborg,97,36,173,"Oak, Beige, Blue",False,3.4,306,Product Name: KALLAX. Category: Chair. Price: 14827. Description: Compact furniture suitable for small apartments.. Designer: Ola Wihlborg. Dimensions: 173cm width x 97cm depth x 36cm height.
IKEA00003,LACK,Sofa,10962,Space-saving furniture with easy assembly.,Monika Mulder,63,101,69,"Oak, Blue, Brown",True,3.2,54,Product Name: LACK. Category: Sofa. Price: 10962. Description: Space-saving furniture with easy assembly.. Designer: Monika Mulder. Dimensions: 69cm width x 63cm depth x 101cm height.
IKEA00004,BESTA,Wardrobe,40064,Durable furniture with practical storage space.,IKEA Design Team,78,167,61,"Blue, White, Grey",True,4.7,321,Product Name: BESTA. Category: Wardrobe. Price: 40064. Description: Durable furniture with practical storage space.. Designer: IKEA Design Team. Dimensions: 61cm width x 78cm depth x 167cm height.
IKEA00005,IVAR,Wardrobe,38336,Compact furniture suitable for small apartments.,IKEA Design Team,25,199,88,"Grey, White, Black",True,3.8,237,Product Name: IVAR. Category: Wardrobe. Price: 38336. Description: Compact furniture suitable for small apartments.. Designer: IKEA Design Team. Dimensions: 88cm width x 25cm depth x 199cm height.
IKEA00006,ALEX,Wardrobe,11158,Durable furniture with practical storage space.,Henrik Preutz,46,201,98,"Black, Grey, Beige",True,4.1,130,Product Name: ALEX. Category: Wardrobe. Price: 11158. Description: Durable furniture with practical storage space.. Designer: Henrik Preutz. Dimensions: 98cm width x 46cm depth x 201cm height.
IKEA00007,MALM,Storage,25366,Durable furniture with practical storage space.,Ola Wihlborg,48,205,113,"White, Black, Green",True,3.8,38,Product Name: MALM. Category: Storage. Price: 25366. Description: Durable furniture with practical storage space.. Designer: Ola Wihlborg. Dimensions: 113cm width x 48cm depth x 205cm height.
IKEA00008,HEMNES,TV Unit,47548,Durable furniture with practical storage space.,Jon Karlsson,83,131,194,"Green, Black, Brown",True,3.5,292,Product Name: HEMNES. Category: TV Unit. Price: 47548. Description: Durable furniture with practical storage space.. Designer: Jon Karlsson. Dimensions: 194cm width x 83cm depth x 131cm height.
IKEA00009,MICKE,Bed,49455,Affordable and stylish furniture for everyday use.,Monika Mulder,94,132,122,"Oak, Black, Grey",False,3.2,29,Product Name: MICKE. Category: Bed. Price: 49455. Description: Affordable and stylish furniture for everyday use.. Designer: Monika Mulder. Dimensions: 122cm width x 94cm depth x 132cm height.
IKEA00010,IVAR,Chair,10515,Space-saving furniture with easy assembly.,Jon Karlsson,74,182,46,"Blue, Oak, Grey",False,4.1,288,Product Name: IVAR. Category: Chair. Price: 10515. Description: Space-saving furniture with easy assembly.. Designer: Jon Karlsson. Dimensions: 46cm width x 74cm depth x 182cm height.
IKEA00011,IVAR,Sofa,45082,Space-saving furniture with easy assembly.,IKEA Design Team,88,98,194,"Beige, White, Brown",False,3.3,6,Product Name: IVAR. Category: Sofa. Price: 45082. Description: Space-saving furniture with easy assembly.. Designer: IKEA Design Team. Dimensions: 194cm width x 88cm depth x 98cm height.
IKEA00012,BRIMNES,Bed,33305,Simple design with clean Scandinavian lines.,Jon Karlsson,84,57,190,"Grey, Blue, Beige",True,3.3,395,Product Name: BRIMNES. Category: Bed. Price: 33305. Description: Simple design with clean Scandinavian lines.. Designer: Jon Karlsson. Dimensions: 190cm width x 84cm depth x 57cm height.
IKEA00013,MALM,Cabinet,35256,Modern Scandinavian furniture with a simple and functional design.,Ola Wihlborg,61,155,34,"Black, Brown, Blue",True,3.1,454,Product Name: MALM. Category: Cabinet. Price: 35256. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: Ola Wihlborg. Dimensions: 34cm width x 61cm depth x 155cm height.
IKEA00014,POANG,Chair,6112,Space-saving furniture with easy assembly.,Monika Mulder,28,166,62,"Brown, Beige, Oak",True,3.5,451,Product Name: POANG. Category: Chair. Price: 6112. Description: Space-saving furniture with easy assembly.. Designer: Monika Mulder. Dimensions: 62cm width x 28cm depth x 166cm height.
IKEA00015,POANG,Bookshelf,14379,Affordable and stylish furniture for everyday use.,Jon Karlsson,59,132,196,"Beige, Oak, Grey",False,3.2,120,Product Name: POANG. Category: Bookshelf. Price: 14379. Description: Affordable and stylish furniture for everyday use.. Designer: Jon Karlsson. Dimensions: 196cm width x 59cm depth x 132cm height.
IKEA00016,BILLY,Wardrobe,1877,Affordable and stylish furniture for everyday use.,Ola Wihlborg,49,180,86,"White, Green, Beige",True,3.5,468,Product Name: BILLY. Category: Wardrobe. Price: 1877. Description: Affordable and stylish furniture for everyday use.. Designer: Ola Wihlborg. Dimensions: 86cm width x 49cm depth x 180cm height.
IKEA00017,KALLAX,Wardrobe,5142,Affordable and stylish furniture for everyday use.,Jon Karlsson,55,201,154,"Oak, Grey, Black",False,3.5,247,Product Name: KALLAX. Category: Wardrobe. Price: 5142. Description: Affordable and stylish furniture for everyday use.. Designer: Jon Karlsson. Dimensions: 154cm width x 55cm depth x 201cm height.
