item_id,name,category,price,short_description,designer,depth,height,width,other_colors,sellable_online,rating,reviews_count
IKEA00001,ALEX,Chair,2138,Space-saving furniture with easy assembly.,Henrik Preutz,51,87,65,"Black, Beige, Blue",True,4.2,21
IKEA00002,KALLAX,Chair,14827,Compact furniture suitable for small apartments.,Ola Wihlborg,97,36,173,"Oak, Beige, Blue",False,3.4,306
IKEA00003,LACK,Sofa,10962,Space-saving furniture with easy assembly.,Monika Mulder,63,101,69,"Oak, Blue, Brown",True,3.2,54
IKEA00004,BESTA,Wardrobe,40064,Durable furniture with practical storage space.,IKEA Design Team,78,167,61,"Blue, White, Grey",True,4.7,321
IKEA00005,IVAR,Wardrobe,38336,Compact furniture suitable for small apartments.,IKEA Design Team,25,199,88,"Grey, White, Black",True,3.8,237
IKEA00006,ALEX,Wardrobe,11158,Durable furniture with practical storage space.,Henrik Preutz,46,201,98,"Black, Grey, Beige",True,4.1,130
IKEA00007,MALM,Storage,25366,Durable furniture with practical storage space.,Ola Wihlborg,48,205,113,"White, Black, Green",True,3.8,38
IKEA00008,HEMNES,TV Unit,47548,Durable furniture with practical storage space.,Jon Karlsson,83,131,194,"Green, Black, Brown",True,3.5,292
IKEA00009,MICKE,Bed,49455,Affordable and stylish furniture for everyday use.,Monika Mulder,94,132,122,"Oak, Black, Grey",False,3.2,29
IKEA00010,IVAR,Chair,10515,Space-saving furniture with easy assembly.,Jon Karlsson,74,182,46,"Blue, Oak, Grey",False,4.1,288
IKEA00011,IVAR,Sofa,45082,Space-saving furniture with easy assembly.,IKEA Design Team,88,98,194,"Beige, White, Brown",False,3.3,6
IKEA00012,BRIMNES,Bed,33305,Simple design with clean Scandinavian lines.,Jon Karlsson,84,57,190,"Grey, Blue, Beige",True,3.3,395
IKEA00013,MALM,Cabinet,35256,Modern Scandinavian furniture with a simple and functional design.,Ola Wihlborg,61,155,34,"Black, Brown, Blue",True,3.1,454
IKEA00014,POANG,Chair,6112,Space-saving furniture with easy assembly.,Monika Mulder,28,166,62,"Brown, Beige, Oak",True,3.5,451
IKEA00015,POANG,Bookshelf,14379,Affordable and stylish furniture for everyday use.,Jon Karlsson,59,132,196,"Beige, Oak, Grey",False,3.2,120
IKEA00016,BILLY,Wardrobe,1877,Affordable and stylish furniture for everyday use.,Ola Wihlborg,49,180,86,"White, Green, Beige",True,3.5,468
IKEA00017,KALLAX,Wardrobe,5142,Affordable and stylish furniture for everyday use.,Jon Karlsson,55,201,154,"Oak, Grey, Black",False,3.5,247
IKEA00018,TROFAST,Bookshelf,12977,Modern Scandinavian furniture with a simple and functional design.,IKEA Design Team,75,120,138,"Blue, Oak, Beige",True,4.3,335
IKEA00019,BILLY,Sofa,26885,Space-saving furniture with easy assembly.,Henrik Preutz,33,93,79,"Oak, Grey, Green",True,3.8,147
IKEA00020,EKET,Desk,5439,Minimalist design suitable for modern homes.,Ola Wihlborg,32,42,196,"White, Green, Black",True,3.8,251
IKEA00021,HEMNES,Bookshelf,4341,Compact furniture suitable for small apartments.,Monika Mulder,20,129,97,"Green, Brown, Oak",False,3.3,156
IKEA00022,HEMNES,Sofa,38456,Space-saving furniture with easy assembly.,Ola Wihlborg,27,110,44,"White, Grey, Oak",True,3.1,265
IKEA00023,BILLY,Table,4989,Affordable and stylish furniture for everyday use.,IKEA Design Team,50,133,60,"Oak, Grey, Blue",True,4.2,219
IKEA00024,ALEX,TV Unit,37541,Affordable and stylish furniture for everyday use.,Henrik Preutz,53,82,110,"Oak, Brown, Green",True,4.3,158
IKEA00025,EKET,Wardrobe,49773,Modern Scandinavian furniture with a simple and functional design.,IKEA Design Team,78,189,174,"Black, White, Grey",True,4.0,72
IKEA00026,BESTA,Chair,16508,Durable furniture with practical storage space.,Henrik Preutz,40,142,169,"Grey, Green, Beige",True,4.3,288
IKEA00027,LACK,Dining Furniture,7287,Compact furniture suitable for small apartments.,Henrik Preutz,34,57,171,"Brown, Green, Blue",True,4.4,109
IKEA00028,ALEX,Dining Furniture,17799,Affordable and stylish furniture for everyday use.,Monika Mulder,52,43,53,"Blue, Green, Brown",True,3.0,399
IKEA00029,MALM,Dining Furniture,17666,Compact furniture suitable for small apartments.,Monika Mulder,90,210,139,"White, Green, Blue",True,4.1,432
IKEA00030,BESTA,TV Unit,36709,Compact furniture suitable for small apartments.,Monika Mulder,36,40,108,"Beige, Blue, White",True,3.4,132
IKEA00031,ALEX,Chair,23677,Simple design with clean Scandinavian lines.,Ola Wihlborg,72,188,69,"Oak, Blue, Black",True,4.8,17
IKEA00032,MALM,Wardrobe,27481,Simple design with clean Scandinavian lines.,Jon Karlsson,54,70,57,"Blue, Green, White",False,3.4,423
IKEA00033,EKET,Wardrobe,20499,Simple design with clean Scandinavian lines.,Jon Karlsson,48,36,198,"Oak, Green, Brown",True,4.7,500
IKEA00034,TROFAST,Bed,23511,Space-saving furniture with easy assembly.,Ola Wihlborg,71,203,167,"Beige, White, Blue",True,3.4,497
IKEA00035,LACK,Sofa,7603,Affordable and stylish furniture for everyday use.,Monika Mulder,64,216,110,"Blue, Grey, Green",True,3.8,300
IKEA00036,HEMNES,Bed,3407,Space-saving furniture with easy assembly.,Monika Mulder,20,163,167,"Oak, Brown, Green",True,4.9,476
IKEA00037,BESTA,TV Unit,21071,Space-saving furniture with easy assembly.,IKEA Design Team,58,159,109,"Blue, Brown, Oak",True,4.1,103
IKEA00038,PAX,Dining Furniture,25346,Space-saving furniture with easy assembly.,Jon Karlsson,98,175,107,"Blue, Grey, White",True,3.6,225
IKEA00039,TROFAST,TV Unit,40257,Space-saving furniture with easy assembly.,Henrik Preutz,79,143,143,"Oak, Grey, Green",True,4.3,150
IKEA00040,MICKE,Dining Furniture,41979,Affordable and stylish furniture for everyday use.,Henrik Preutz,31,90,109,"Oak, Blue, Black",True,3.0,130
IKEA00041,EKET,TV Unit,5271,Minimalist design suitable for modern homes.,Monika Mulder,100,177,79,"Blue, Oak, Green",True,3.3,357
IKEA00042,KALLAX,Chair,28361,Compact furniture suitable for small apartments.,Jon Karlsson,86,148,42,"Oak, Blue, White",False,3.3,242
IKEA00043,ALEX,Cabinet,37128,Affordable and stylish furniture for everyday use.,Henrik Preutz,76,186,159,"Blue, Green, Grey",False,4.8,385
IKEA00044,IVAR,Storage,29994,Durable furniture with practical storage space.,Jon Karlsson,55,163,154,"Oak, Brown, Green",True,4.4,125
IKEA00045,LACK,Wardrobe,21451,Affordable and stylish furniture for everyday use.,IKEA Design Team,37,68,89,"Blue, Beige, Black",True,3.1,213
IKEA00046,BESTA,Cabinet,31033,Minimalist design suitable for modern homes.,IKEA Design Team,46,137,129,"White, Blue, Grey",False,4.0,487
IKEA00047,BESTA,Bed,49878,Minimalist design suitable for modern homes.,Monika Mulder,88,218,169,"Oak, Green, Black",True,3.9,19
IKEA00048,PAX,Wardrobe,44334,Space-saving furniture with easy assembly.,Monika Mulder,41,149,62,"White, Oak, Grey",True,3.2,224
IKEA00049,MALM,Storage,12408,Modern Scandinavian furniture with a simple and functional design.,Henrik Preutz,68,113,84,"Green, Brown, Blue",False,3.6,492
IKEA00050,IVAR,Bookshelf,17031,Simple design with clean Scandinavian lines.,IKEA Design Team,80,34,168,"White, Brown, Black",True,4.6,338
IKEA00051,KALLAX,Sofa,16704,Compact furniture suitable for small apartments.,IKEA Design Team,99,69,91,"Brown, Oak, Beige",True,4.1,116
IKEA00052,EKET,Bed,24674,Compact furniture suitable for small apartments.,Ola Wihlborg,97,213,59,"Brown, Green, White",True,4.9,299
IKEA00053,ALEX,Bookshelf,26494,Space-saving furniture with easy assembly.,Jon Karlsson,29,181,190,"Oak, White, Beige",True,4.7,312
IKEA00054,TROFAST,Chair,37587,Simple design with clean Scandinavian lines.,IKEA Design Team,64,166,139,"Beige, White, Grey",True,3.0,220
IKEA00055,IVAR,Storage,7415,Minimalist design suitable for modern homes.,Henrik Preutz,78,211,69,"Blue, Black, Beige",True,4.2,475
IKEA00056,MICKE,Storage,30964,Minimalist design suitable for modern homes.,Ola Wihlborg,54,112,92,"Black, Brown, Oak",True,4.5,296
IKEA00057,POANG,Dining Furniture,25336,Durable furniture with practical storage space.,IKEA Design Team,83,113,76,"Green, Black, Brown",True,3.7,455
IKEA00058,POANG,Bed,36923,Modern Scandinavian furniture with a simple and functional design.,Ola Wihlborg,44,51,91,"Blue, Oak, Grey",True,4.4,335
IKEA00059,BRIMNES,Storage,29870,Simple design with clean Scandinavian lines.,IKEA Design Team,31,105,86,"Blue, Beige, Black",True,4.3,193
IKEA00060,EKET,Cabinet,35293,Durable furniture with practical storage space.,Monika Mulder,90,114,120,"Green, Brown, Blue",True,3.5,374
IKEA00061,HEMNES,Wardrobe,8334,Space-saving furniture with easy assembly.,Ola Wihlborg,43,79,85,"Green, Brown, Beige",True,5.0,431
IKEA00062,HEMNES,Bed,15407,Durable furniture with practical storage space.,Jon Karlsson,58,33,166,"Brown, Green, White",True,4.1,362
IKEA00063,MALM,Dining Furniture,49833,Minimalist design suitable for modern homes.,IKEA Design Team,21,176,102,"Green, Oak, Blue",True,3.4,31
IKEA00064,LACK,Storage,7975,Simple design with clean Scandinavian lines.,IKEA Design Team,71,155,48,"White, Black, Blue",True,3.2,132
IKEA00065,BILLY,Cabinet,27773,Affordable and stylish furniture for everyday use.,Ola Wihlborg,99,87,163,"Blue, Oak, Green",True,4.7,224
IKEA00066,LACK,TV Unit,41198,Modern Scandinavian furniture with a simple and functional design.,Ola Wihlborg,32,83,190,"Oak, Brown, Beige",True,3.3,93
IKEA00067,MICKE,Chair,10757,Modern Scandinavian furniture with a simple and functional design.,Monika Mulder,77,206,182,"Green, Brown, White",True,3.6,149
IKEA00068,BRIMNES,Storage,5163,Space-saving furniture with easy assembly.,Jon Karlsson,53,190,180,"Oak, Green, White",True,4.3,470
