review_id,item_id,product_name,rating,review,sentiment
REV00001,IKEA01170,ALEX,5,Good quality and durable.,Positive
REV00002,IKEA00643,MICKE,5,Beautiful Scandinavian design.,Positive
REV00003,IKEA00058,POANG,2,Some parts were difficult to assemble.,Negative
REV00004,IKEA00789,HEMNES,4,Beautiful Scandinavian design.,Positive
REV00005,IKEA00108,HEMNES,5,Good quality and durable.,Positive
REV00006,IKEA00889,PAX,5,Beautiful Scandinavian design.,Positive
REV00007,IKEA00366,MICKE,5,Good quality and durable.,Positive
REV00008,IKEA00092,TROFAST,5,Very good quality and easy to assemble.,Positive
REV00009,IKEA00937,KALLAX,5,Excellent product for the price.,Positive
REV00010,IKEA00656,PAX,3,Decent quality for the price.,Positive
REV00011,IKEA01015,PAX,4,Good quality and durable.,Positive
REV00012,IKEA00032,MALM,2,Not completely satisfied.,Negative
REV00013,IKEA00422,KALLAX,5,Very good quality and easy to assemble.,Positive
REV00014,IKEA00595,HEMNES,1,Quality was average.,Negative
REV00015,IKEA00678,LACK,5,Very useful and practical furniture.,Positive
REV00016,IKEA00468,TROFAST,4,Perfect for a small apartment.,Positive
REV00017,IKEA00824,IVAR,2,Quality was average.,Negative
REV00018,IKEA00505,BILLY,5,Looks great in my room.,Positive
REV00019,IKEA00866,BRIMNES,5,Good quality and durable.,Positive
REV00020,IKEA00635,HEMNES,4,Good quality and durable.,Positive
REV00021,IKEA00559,BILLY,4,Very good quality and easy to assemble.,Positive
REV00022,IKEA00852,PAX,5,Very useful and practical furniture.,Positive
REV00023,IKEA00570,MALM,5,Excellent product for the price.,Positive
REV00024,IKEA01000,MICKE,4,Very good quality and easy to assemble.,Positive
REV00025,IKEA00810,IVAR,2,Not completely satisfied.,Negative
REV00026,IKEA00264,PAX,5,Excellent product for the price.,Positive
REV00027,IKEA00145,BRIMNES,5,Very good quality and easy to assemble.,Positive
REV00028,IKEA00326,BILLY,5,Very useful and practical furniture.,Positive
REV00029,IKEA00137,HEMNES,4,Looks great in my room.,Positive
REV00030,IKEA00343,TROFAST,5,Looks great in my room.,Positive
REV00031,IKEA00816,BILLY,4,Looks great in my room.,Positive
REV00032,IKEA00584,BESTA,5,Looks great in my room.,Positive
REV00033,IKEA00223,TROFAST,5,Very useful and practical furniture.,Positive
REV00034,IKEA00414,BILLY,5,Beautiful Scandinavian design.,Positive
REV00035,IKEA01020,BRIMNES,4,Beautiful Scandinavian design.,Positive
REV00036,IKEA00074,PAX,5,Very good quality and easy to assemble.,Positive
REV00037,IKEA00229,BILLY,4,Perfect for a small apartment.,Positive
REV00038,IKEA00795,MALM,4,Perfect for a small apartment.,Positive
REV00039,IKEA00139,BRIMNES,4,Beautiful Scandinavian design.,Positive
REV00040,IKEA00760,HEMNES,4,Excellent product for the price.,Positive
REV00041,IKEA00906,BILLY,5,Very good quality and easy to assemble.,Positive
REV00042,IKEA01032,HEMNES,5,Excellent product for the price.,Positive
REV00043,IKEA00431,KALLAX,5,Very good quality and easy to assemble.,Positive
REV00044,IKEA01165,TROFAST,1,Quality was average.,Negative
REV00045,IKEA00700,ALEX,5,Looks great in my room.,Positive
REV00046,IKEA00360,BESTA,4,Excellent product for the price.,Positive
REV00047,IKEA00116,ALEX,4,Excellent product for the price.,Positive
REV00048,IKEA00598,EKET,5,Excellent product for the price.,Positive
REV00049,IKEA00377,BESTA,5,Looks great in my room.,Positive
REV00050,IKEA00899,TROFAST,2,Not completely satisfied.,Negative
REV00051,IKEA00143,EKET,5,Beautiful Scandinavian design.,Positive
REV00052,IKEA01083,BILLY,4,Excellent product for the price.,Positive
REV00053,IKEA00294,MICKE,5,Looks great in my room.,Positive
REV00054,IKEA00117,BILLY,3,Overall good product.,Positive
REV00055,IKEA00840,MICKE,5,Very good quality and easy to assemble.,Positive
REV00056,IKEA00348,ALEX,5,Looks great in my room.,Positive
REV00057,IKEA00759,BESTA,2,Assembly instructions could be better.,Positive
REV00058,IKEA00479,EKET,1,Assembly instructions could be better.,Positive
REV00059,IKEA01153,TROFAST,3,The product is good.,Positive
REV00060,IKEA01162,MALM,3,Decent quality for the price.,Positive
REV00061,IKEA00073,PAX,5,Very good quality and easy to assemble.,Positive
REV00062,IKEA00041,EKET,5,Very useful and practical furniture.,Positive
REV00063,IKEA01171,EKET,5,Looks great in my room.,Positive
REV00064,IKEA00793,LACK,4,Good quality and durable.,Positive
REV00065,IKEA00487,EKET,5,Beautiful Scandinavian design.,Positive
REV00066,IKEA00513,MALM,4,Good quality and durable.,Positive
